ACBK1g00001,
ACBK1g00002,
ACBK1g00003,Bst-1-000006
ACBK1g00004,Bst-1-000005
ACBK1g00005,.
ACBK1g00006,Bst-1-000004
ACBK1g00007,Bst-1-000003
ACBK1g00008,Bst-1-000001
ACBK1g00009,Bst-1-000009
ACBK1g00010,.
ACBK1g00011,Bst-1-000011
ACBK1g00012,Bst-1-000013
ACBK1g00013,.
ACBK1g00014,Bst-1-000014
ACBK1g00015,Bst-1-000015
ACBK1g00016,Bst-1-000016
ACBK1g00017,Bst-1-000017
ACBK1g00018,Bst-1-000018
ACBK1g00019,Bst-1-000019
ACBK1g00020,.
ACBK1g00021,Bst-1-000020
ACBK1g00022,.
ACBK1g00023,.
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,Bst-1-000022
ACBK1g00027,Bst-1-000023
ACBK1g00028,Bst-1-000024
ACBK1g00029,.
ACBK1g00030,Bst-1-000029
ACBK1g00031,Bst-1-000032
ACBK1g00032,.
ACBK1g00033,Bst-1-000034
ACBK1g00034,Bst-1-000035
ACBK1g00035,.
ACBK1g00036,Bst-1-000036
ACBK1g00037,.
ACBK1g00038,Bst-1-000037
ACBK1g00039,.
ACBK1g00040,Bst-1-000040
ACBK1g00041,.
ACBK1g00042,Bst-1-000042
ACBK1g00043,.
ACBK1g00044,.
ACBK1g00045,Bst-1-000044
ACBK1g00046,Bst-1-000046
ACBK1g00047,Bst-1-000047
ACBK1g00048,Bst-1-000049
ACBK1g00049,.
ACBK1g00050,.
ACBK1g00051,Bst-1-000050
ACBK1g00052,Bst-1-000051
ACBK1g00053,Bst-1-000052
ACBK1g00054,.
ACBK1g00055,.
ACBK1g00056,Bst-1-000055
ACBK1g00057,Bst-1-000056
ACBK1g00058,Bst-1-000057
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Bst-1-000059
ACBK1g00064,Bst-1-000061
ACBK1g00065,Bst-1-000062
ACBK1g00066,.
ACBK1g00067,Bst-1-000064
ACBK1g00068,Bst-1-000065
ACBK1g00069,.
ACBK1g00070,Bst-1-000067
ACBK1g00071,Bst-1-000068
ACBK1g00072,Bst-1-000069
ACBK1g00073,Bst-1-000070
ACBK1g00074,Bst-1-000071
ACBK1g00075,.
ACBK1g00076,.
ACBK1g00077,Bst-1-000073
ACBK1g00078,.
ACBK1g00079,Bst-1-000075
ACBK1g00080,Bst-1-000076
ACBK1g00081,.
ACBK1g00082,.
ACBK1g00083,Bst-1-000080
ACBK1g00084,Bst-1-000081
ACBK1g00085,.
ACBK1g00086,.
ACBK1g00087,.
ACBK1g00088,Bst-1-000085
ACBK1g00089,Bst-1-000087
ACBK1g00090,.
ACBK1g00091,Bst-1-000089
ACBK1g00092,Bst-1-000090
ACBK1g00093,Bst-1-000091
ACBK1g00094,Bst-1-000092
ACBK1g00095,Bst-1-000093
ACBK1g00096,.
ACBK1g00097,Bst-1-000097
ACBK1g00098,Bst-1-000098
ACBK1g00099,.
ACBK1g00100,Bst-1-000099
ACBK1g00101,Bst-1-000100
ACBK1g00102,Bst-1-000101
ACBK1g00103,Bst-1-000102
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Bst-1-000103
ACBK1g00107,Bst-1-000104
ACBK1g00108,Bst-1-000105
ACBK1g00109,Bst-1-000106
ACBK1g00110,Bst-1-000107
ACBK1g00111,Bst-1-000108
ACBK1g00112,Bst-1-000109
ACBK1g00113,Bst-1-000111
ACBK1g00114,.
ACBK1g00115,.
ACBK1g00116,Bst-1-000114
ACBK1g00117,Bst-1-000115
ACBK1g00118,Bst-1-000118
ACBK1g00119,.
ACBK1g00120,.
ACBK1g00121,.
ACBK1g00122,Bst-1-000119
ACBK1g00123,Bst-1-000121
ACBK1g00124,Bst-1-000128
ACBK1g00125,Bst-1-000129
ACBK1g00126,.
ACBK1g00127,Bst-1-000130
ACBK1g00128,.
ACBK1g00129,.
ACBK1g00130,Bst-1-000132
ACBK1g00131,.
ACBK1g00132,.
ACBK1g00133,Bst-1-000135
ACBK1g00134,.
ACBK1g00135,.
ACBK1g00136,.
ACBK1g00137,Bst-1-000139
ACBK1g00138,Bst-1-000140
ACBK1g00139,Bst-1-000141
ACBK1g00140,.
ACBK1g00141,Bst-1-000142
ACBK1g00142,.
ACBK1g00143,Bst-1-000146
ACBK1g00144,Bst-1-000147
ACBK1g00145,.
ACBK1g00146,Bst-1-000148
ACBK1g00147,.
ACBK1g00148,Bst-1-000149
ACBK1g00149,Bst-1-000150
ACBK1g00150,Bst-1-000151
ACBK1g00151,Bst-1-000152
ACBK1g00152,Bst-1-000153
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,.
ACBK1g00156,Bst-1-000154
ACBK1g00157,Bst-1-000155
ACBK1g00158,.
ACBK1g00159,Bst-1-000159
ACBK1g00160,Bst-1-000160
ACBK1g00161,.
ACBK1g00162,Bst-1-000161
ACBK1g00163,Bst-1-000162
ACBK1g00164,.
ACBK1g00165,Bst-1-000164
ACBK1g00166,.
ACBK1g00167,Bst-1-000165
ACBK1g00168,Bst-1-000166
ACBK1g00169,Bst-1-000167
ACBK1g00170,Bst-1-000168
ACBK1g00171,Bst-1-000169
ACBK1g00172,Bst-1-000170
ACBK1g00173,.
ACBK1g00174,Bst-1-000172
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Bst-1-000173
ACBK1g00178,Bst-1-000174
ACBK1g00179,.
ACBK1g00180,Bst-1-000175
ACBK1g00181,.
ACBK1g00182,Bst-1-000176
ACBK1g00183,Bst-1-000177
ACBK1g00184,Bst-1-000178
ACBK1g00185,Bst-1-000179
ACBK1g00186,Bst-1-000180
ACBK1g00187,Bst-1-000181
ACBK1g00188,Bst-1-000182
ACBK1g00189,.
ACBK1g00190,Bst-1-000184
ACBK1g00191,Bst-1-000185
ACBK1g00192,Bst-1-000186
ACBK1g00193,Bst-1-000187
ACBK1g00194,.
ACBK1g00195,Bst-1-000189
ACBK1g00196,.
ACBK1g00197,Bst-1-000191
ACBK1g00198,Bst-1-000192
ACBK1g00199,.
ACBK1g00200,Bst-1-000193
ACBK1g00201,.
ACBK1g00202,Bst-1-000194
ACBK1g00203,.
ACBK1g00204,Bst-1-000197
ACBK1g00205,.
ACBK1g00206,Bst-1-000199
ACBK1g00207,.
ACBK1g00208,Bst-1-000201
ACBK1g00209,Bst-1-000202
ACBK1g00210,Bst-1-000207
ACBK1g00211,Bst-1-000208
ACBK1g00212,Bst-1-000209
ACBK1g00213,Bst-1-000210
ACBK1g00214,Bst-1-000215
ACBK1g00215,Bst-1-000216
ACBK1g00216,Bst-1-000217
ACBK1g00217,.
ACBK1g00218,Bst-1-000219
ACBK1g00219,Bst-1-000220
ACBK1g00220,.
ACBK1g00221,Bst-1-000222
ACBK1g00222,Bst-1-000223
ACBK1g00223,Bst-1-000226
ACBK1g00224,Bst-1-000228
ACBK1g00225,Bst-1-000229
ACBK1g00226,Bst-1-000230
ACBK1g00227,Bst-1-000231
ACBK1g00228,Bst-1-000232
ACBK1g00229,Bst-1-000233
ACBK1g00230,.
ACBK1g00231,Bst-1-000235
ACBK1g00232,Bst-1-000236
ACBK1g00233,.
ACBK1g00234,.
ACBK1g00235,Bst-1-000238
ACBK1g00236,Bst-1-000239
ACBK1g00237,Bst-1-000240
ACBK1g00238,Bst-1-000242
ACBK1g00239,Bst-1-000243
ACBK1g00240,Bst-1-000244
ACBK1g00241,.
ACBK1g00242,Bst-1-000246
ACBK1g00243,Bst-1-000247
ACBK1g00244,.
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,.
ACBK1g00248,Bst-1-000249
ACBK1g00249,.
ACBK1g00250,.
ACBK1g00251,Bst-1-000253
ACBK1g00252,Bst-1-000254
ACBK1g00253,.
ACBK1g00254,.
ACBK1g00255,.
ACBK1g00256,Bst-1-000293
ACBK1g00257,Bst-1-000292
ACBK1g00258,Bst-1-000291
ACBK1g00259,.
ACBK1g00260,.
ACBK1g00261,Bst-1-000289
ACBK1g00262,.
ACBK1g00263,Bst-1-000287
ACBK1g00264,Bst-1-000286
ACBK1g00265,.
ACBK1g00266,Bst-1-000284
ACBK1g00267,Bst-1-000283
ACBK1g00268,.
ACBK1g00269,Bst-1-000282
ACBK1g00270,Bst-1-000281
ACBK1g00271,Bst-1-000280
ACBK1g00272,.
ACBK1g00273,.
ACBK1g00274,Bst-1-000278
ACBK1g00275,Bst-1-000277
ACBK1g00276,Bst-1-000276
ACBK1g00277,.
ACBK1g00278,.
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Bst-1-000272
ACBK1g00282,Bst-1-000271
ACBK1g00283,Bst-1-000269
ACBK1g00284,.
ACBK1g00285,Bst-1-000267
ACBK1g00286,Bst-1-000266
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,Bst-1-000265
ACBK1g00290,Bst-1-000264
ACBK1g00291,Bst-1-000263
ACBK1g00292,Bst-1-000262
ACBK1g00293,Bst-1-000261
ACBK1g00294,.
ACBK1g00295,.
ACBK1g00296,Bst-1-000258
ACBK1g00297,.
ACBK1g00298,Bst-1-000256
ACBK1g00299,.
ACBK1g00300,Bst-1-000295
ACBK1g00301,Bst-1-000296
ACBK1g00302,Bst-1-000297
ACBK1g00303,.
ACBK1g00304,Bst-1-000300
ACBK1g00305,.
ACBK1g00306,Bst-1-000302
ACBK1g00307,.
ACBK1g00308,Bst-1-000304
ACBK1g00309,Bst-1-000305
ACBK1g00310,.
ACBK1g00311,Bst-1-000308
ACBK1g00312,Bst-1-000309
ACBK1g00313,.
ACBK1g00314,Bst-1-000311
ACBK1g00315,Bst-1-000312
ACBK1g00316,Bst-1-000313
ACBK1g00317,Bst-1-000314
ACBK1g00318,Bst-1-000315
ACBK1g00319,.
ACBK1g00320,Bst-1-000319
ACBK1g00321,Bst-1-000321
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,.
ACBK1g00327,Bst-1-000323
ACBK1g00328,Bst-1-000324
ACBK1g00329,Bst-1-000325
ACBK1g00330,Bst-1-000326
ACBK1g00331,.
ACBK1g00332,Bst-1-000327
ACBK1g00333,Bst-1-000328
ACBK1g00334,Bst-1-000329
ACBK1g00335,Bst-1-000330
ACBK1g00336,.
ACBK1g00337,Bst-1-000333
ACBK1g00338,Bst-1-000334
ACBK1g00339,Bst-1-000335
ACBK1g00340,Bst-1-000336
ACBK1g00341,Bst-1-000337
ACBK1g00342,Bst-1-000338
ACBK1g00343,Bst-1-000339
ACBK1g00344,Bst-1-000341
ACBK1g00345,Bst-1-000342
ACBK1g00346,.
ACBK1g00347,Bst-1-000343
ACBK1g00348,Bst-1-000344
ACBK1g00349,Bst-1-000345
ACBK1g00350,Bst-1-000346
ACBK1g00351,Bst-1-000347
ACBK1g00352,Bst-1-000348
ACBK1g00353,Bst-1-000351
ACBK1g00354,Bst-1-000353
ACBK1g00355,.
ACBK1g00356,Bst-1-000354
ACBK1g00357,.
ACBK1g00358,Bst-1-000355
ACBK1g00359,.
ACBK1g00360,Bst-1-000357
ACBK1g00361,Bst-1-001925
ACBK1g00362,Bst-1-001924
ACBK1g00363,Bst-1-001923
ACBK1g00364,Bst-1-001922
ACBK1g00365,Bst-1-001921
ACBK1g00366,Bst-1-001920
ACBK1g00367,Bst-1-001919
ACBK1g00368,Bst-1-001918
ACBK1g00369,.
ACBK1g00370,Bst-1-001917
ACBK1g00371,.
ACBK1g00372,Bst-1-001913
ACBK1g00373,.
ACBK1g00374,.
ACBK1g00375,Bst-1-001910
ACBK1g00376,Bst-1-001909
ACBK1g00377,Bst-1-001908
ACBK1g00378,Bst-1-001907
ACBK1g00379,Bst-1-001906
ACBK1g00380,.
ACBK1g00381,Bst-1-001904
ACBK1g00382,Bst-1-001902
ACBK1g00383,.
ACBK1g00384,Bst-1-001901
ACBK1g00385,.
ACBK1g00386,Bst-1-001899
ACBK1g00387,Bst-1-001898
ACBK1g00388,.
ACBK1g00389,Bst-1-001896
ACBK1g00390,.
ACBK1g00391,Bst-1-001894
ACBK1g00392,Bst-1-001893
ACBK1g00393,.
ACBK1g00394,Bst-1-001891
ACBK1g00395,.
ACBK1g00396,Bst-1-001889
ACBK1g00397,Bst-1-001888
ACBK1g00398,Bst-1-001887
ACBK1g00399,Bst-1-001886
ACBK1g00400,Bst-1-001885
ACBK1g00401,.
ACBK1g00402,Bst-1-001882
ACBK1g00403,Bst-1-001881
ACBK1g00404,Bst-1-001880
ACBK1g00405,Bst-1-001877
ACBK1g00406,Bst-1-001876
ACBK1g00407,Bst-1-001875
ACBK1g00408,Bst-1-001874
ACBK1g00409,Bst-1-001873
ACBK1g00410,Bst-1-001872
ACBK1g00411,.
ACBK1g00412,.
ACBK1g00413,Bst-1-001869
ACBK1g00414,Bst-1-001868
ACBK1g00415,Bst-1-001866
ACBK1g00416,.
ACBK1g00417,Bst-1-001864
ACBK1g00418,.
ACBK1g00419,.
ACBK1g00420,Bst-1-001863
ACBK1g00421,.
ACBK1g00422,Bst-1-001860
ACBK1g00423,.
ACBK1g00424,.
ACBK1g00425,.
ACBK1g00426,.
ACBK1g00427,Bst-1-001855
ACBK1g00428,Bst-1-001853
ACBK1g00429,Bst-1-001852
ACBK1g00430,Bst-1-001851
ACBK1g00431,Bst-1-001850
ACBK1g00432,Bst-1-001849
ACBK1g00433,Bst-1-001848
ACBK1g00434,.
ACBK1g00435,Bst-1-001846
ACBK1g00436,Bst-1-001845
ACBK1g00437,Bst-1-001844
ACBK1g00438,.
ACBK1g00439,Bst-1-001841
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Bst-1-001840
ACBK1g00443,Bst-1-001839
ACBK1g00444,Bst-1-001838
ACBK1g00445,Bst-1-001837
ACBK1g00446,Bst-1-001836
ACBK1g00447,.
ACBK1g00448,Bst-1-001834
ACBK1g00449,Bst-1-001833
ACBK1g00450,Bst-1-001832
ACBK1g00451,Bst-1-001831
ACBK1g00452,Bst-1-001830
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Bst-1-001829
ACBK1g00457,Bst-1-001828
ACBK1g00458,Bst-1-001827
ACBK1g00459,.
ACBK1g00460,Bst-1-001825
ACBK1g00461,.
ACBK1g00462,Bst-1-001824
ACBK1g00463,Bst-1-001823
ACBK1g00464,.
ACBK1g00465,Bst-1-001822
ACBK1g00466,.
ACBK1g00467,.
ACBK1g00468,Bst-1-001819
ACBK1g00469,Bst-1-001818
ACBK1g00470,Bst-1-001817
ACBK1g00471,.
ACBK1g00472,.
ACBK1g00473,Bst-1-001814
ACBK1g00474,Bst-1-001813
ACBK1g00475,Bst-1-001812
ACBK1g00476,Bst-1-001811
ACBK1g00477,Bst-1-001810
ACBK1g00478,.
ACBK1g00479,Bst-1-001809
ACBK1g00480,Bst-1-001808
ACBK1g00481,.
ACBK1g00482,Bst-1-001807
ACBK1g00483,.
ACBK1g00484,Bst-1-001805
ACBK1g00485,Bst-1-001804
ACBK1g00486,.
ACBK1g00487,Bst-1-001802
ACBK1g00488,.
ACBK1g00489,Bst-1-001800
ACBK1g00490,.
ACBK1g00491,Bst-1-001798
ACBK1g00492,.
ACBK1g00493,Bst-1-001796
ACBK1g00494,Bst-1-001795
ACBK1g00495,.
ACBK1g00496,Bst-1-001794
ACBK1g00497,Bst-1-001792
ACBK1g00498,Bst-1-001791
ACBK1g00499,Bst-1-001790
ACBK1g00500,Bst-1-001789
ACBK1g00501,Bst-1-001788
ACBK1g00502,Bst-1-001787
ACBK1g00503,Bst-1-001786
ACBK1g00504,.
ACBK1g00505,Bst-1-001785
ACBK1g00506,Bst-1-001784
ACBK1g00507,Bst-1-001783
ACBK1g00508,Bst-1-001781
ACBK1g00509,.
ACBK1g00510,Bst-1-001779
ACBK1g00511,Bst-1-001777
ACBK1g00512,Bst-1-001773
ACBK1g00513,Bst-1-001771
ACBK1g00514,Bst-1-001769
ACBK1g00515,Bst-1-001768
ACBK1g00516,Bst-1-001767
ACBK1g00517,Bst-1-001766
ACBK1g00518,.
ACBK1g00519,Bst-1-001763
ACBK1g00520,Bst-1-001758
ACBK1g00521,Bst-1-001757
ACBK1g00522,Bst-1-001756
ACBK1g00523,.
ACBK1g00524,Bst-1-001754
ACBK1g00525,Bst-1-001753
ACBK1g00526,Bst-1-001752
ACBK1g00527,Bst-1-001751
ACBK1g00528,Bst-1-001750
ACBK1g00529,Bst-1-001749
ACBK1g00530,Bst-1-001747
ACBK1g00531,Bst-1-001746
ACBK1g00532,Bst-1-001745
ACBK1g00533,Bst-1-001744
ACBK1g00534,Bst-1-001743
ACBK1g00535,.
ACBK1g00536,Bst-1-001742
ACBK1g00537,Bst-1-001741
ACBK1g00538,Bst-1-001740
ACBK1g00539,Bst-1-001739
ACBK1g00540,Bst-1-001738
ACBK1g00541,Bst-1-001737
ACBK1g00542,.
ACBK1g00543,Bst-1-001735
ACBK1g00544,Bst-1-001734
ACBK1g00545,.
ACBK1g00546,Bst-1-001731
ACBK1g00547,.
ACBK1g00548,Bst-1-001729
ACBK1g00549,.
ACBK1g00550,.
ACBK1g00551,Bst-1-001725
ACBK1g00552,.
ACBK1g00553,.
ACBK1g00554,.
ACBK1g00555,Bst-1-001722
ACBK1g00556,.
ACBK1g00557,Bst-1-001720
ACBK1g00558,Bst-1-001719
ACBK1g00559,.
ACBK1g00560,Bst-1-001718
ACBK1g00561,.
ACBK1g00562,Bst-1-001717
ACBK1g00563,Bst-1-001716
ACBK1g00564,.
ACBK1g00565,Bst-1-001715
ACBK1g00566,Bst-1-001714
ACBK1g00567,.
ACBK1g00568,.
ACBK1g00569,.
ACBK1g00570,Bst-1-001710
ACBK1g00571,Bst-1-001709
ACBK1g00572,.
ACBK1g00573,Bst-1-001707
ACBK1g00574,.
ACBK1g00575,.
ACBK1g00576,Bst-1-001704
ACBK1g00577,.
ACBK1g00578,.
ACBK1g00579,Bst-1-001702
ACBK1g00580,Bst-1-001701
ACBK1g00581,Bst-1-001700
ACBK1g00582,Bst-1-001698
ACBK1g00583,Bst-1-001697
ACBK1g00584,Bst-1-001696
ACBK1g00585,Bst-1-001695
ACBK1g00586,.
ACBK1g00587,Bst-1-001692
ACBK1g00588,Bst-1-001691
ACBK1g00589,Bst-1-001690
ACBK1g00590,Bst-1-001689
ACBK1g00591,.
ACBK1g00592,.
ACBK1g00593,Bst-1-001685
ACBK1g00594,Bst-1-001684
ACBK1g00595,Bst-1-001683
ACBK1g00596,.
ACBK1g00597,.
ACBK1g00598,.
ACBK1g00599,Bst-1-001680
ACBK1g00600,.
ACBK1g00601,.
ACBK1g00602,Bst-1-001674
